"CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
"0021015070","0255","2005-11-28T05:00:00.000","1100.3","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Presión Atmosferica (1h)","HPa"
"0023195240","0255","2017-03-01T10:00:00.000","996.8","AGUACHICA - AUT","CESAR","AGUACHICA","MEDIO MAGDALENA","8.123416667","-73.57986111","Presión Atmosferica (1h)","HPa"
"0035095120","0255","2006-05-27T04:00:00.000","709.9","AQUITANIA - AUT","BOYACÁ","AQUITANIA","META","5.556638889","-72.88175","Presión Atmosferica (1h)","HPa"
"0025025350","0255","2018-03-31T23:00:00.000","990.3","PUERTA ROJA - AUT","SUCRE","SINCELEJO","BAJO MAGDALENA- CAUCA -SAN JORGE","9.316388889","-75.3875","Presión Atmosferica (1h)","HPa"
"0013085030","0255","2018-04-26T01:00:00.000","1008.4","SAN BERNARDO","CORDOBA","SAN BERNARDO DEL VIENTO","SINÚ","9.370777778","-75.94930556","Presión Atmosferica (1h)","HPa"
"0021215180","0255","2014-01-23T16:00:00.000","879.8","BATALLON ROOKE  - AUT","TOLIMA","IBAGUÉ","ALTO MAGDALENA","4.418388889","-75.24866667","Presión Atmosferica (1h)","HPa"
"0057025020","0255","2016-06-22T03:00:00.000","1016.3","GORGONA GUAPI","CAUCA","GUAPI","GUAVIARE","2.963","-78.174","Presión Atmosferica (1h)","HPa"
"0029045190","0255","2018-09-10T10:00:00.000","1009.3","APTO ERNESTO CORTIZOS TX GPRS","ATLÁNTICO","SOLEDAD","BAJO MAGDALENA","10.918","-74.78","Presión Atmosferica (1h)","HPa"
"0035075080","0255","2017-09-21T00:00:00.000","720.6","PARAMO RABANAL - AUT","BOYACÁ","VENTAQUEMADA","META","5.392388889","-73.56277778","Presión Atmosferica (1h)","HPa"
"0024035370","0255","2010-05-20T03:00:00.000","671.5","EL ESPINO - AUT","BOYACÁ","EL ESPINO","SOGAMOSO","6.506722222","-72.45266667","Presión Atmosferica (1h)","HPa"
"0037015030","0255","2016-07-29T20:00:00.000","689.9","BERLIN - AUT","SANTANDER","TONA","ARAUCA","7.187","-72.8685","Presión Atmosferica (1h)","HPa"
"0021205522","0255","2019-08-15T13:10:00.000","749.97","TABIO  - AUT","CUNDINAMARCA","TABIO","ALTO MAGDALENA","4.918","-74.029","Presión Atmosferica (1h)","HPa"
"0026075150","0255","2015-01-26T16:00:00.000","907.3","APTO ALFONSO BONILLA ARAGON - TX GPRS","VALLE DEL CAUCA","PALMIRA","CAUCA","3.533","-76.382","Presión Atmosferica (1h)","HPa"
"0025025000","0255","2017-10-05T20:00:00.000","997","EL DIFICIL - AUT","MAGDALENA","ARIGUANÍ (EL DIFICIL)","CESAR","9.911972222","-74.08580556","Presión Atmosferica (1h)","HPa"
"0024015507","0255","2019-02-27T06:00:00.000","707.452","OJO DE AGUA  - AUT","CUNDINAMARCA","SIMIJACA","SOGAMOSO","5.392","-73.854","Presión Atmosferica (1h)","HPa"
"0011050020","0255","2018-05-05T14:00:00.000","1005.6","PR CHOCO: BETE","CHOCÓ","MEDIO ATRATO (BETÉ)","ATRATO - DARIÉN","5.995","-76.78","Presión Atmosferica (1h)","HPa"
"0023195230","0255","2012-11-27T09:00:00.000","907.6","NEOMUNDO - AUT","SANTANDER","BUCARAMANGA","MEDIO MAGDALENA","7.102611111","-73.10730556","Presión Atmosferica (1h)","HPa"
"0057025020","0255","2007-08-28T13:00:00.000","1010.1","GORGONA GUAPI","CAUCA","GUAPI","GUAVIARE","2.963","-78.174","Presión Atmosferica (1h)","HPa"
"0026125720","0255","2018-12-18T23:00:00.000","884.2","CENTRO DE LA GUADUA - AUT","QUINDÍO","CÓRDOBA","CAUCA","4.402047222","-75.716025","Presión Atmosferica (1h)","HPa"
"0051025060","0255","2016-01-16T05:00:00.000","959.5","BIOTOPO - AUT","NARIÑO","BARBACOAS","MIRA","1.408638889","-78.28161111","Presión Atmosferica (1h)","HPa"
"0021195170","0255","2009-04-27T04:00:00.000","711","PAQUILO - AUT","CUNDINAMARCA","CABRERA","ALTO MAGDALENA","3.993611111","-74.39805556","Presión Atmosferica (1h)","HPa"
"0048015050","0255","2019-03-28T07:00:00.000","1004.1","AEROPUERTO VASQUEZ COBO","AMAZONAS","LETICIA","AMAZONAS - DIRECTOS","-4.193861111","-69.94091667","Presión Atmosferica (1h)","HPa"
"0026095320","0255","2018-11-14T01:00:00.000","905.2","EL VINCULO - AUT","VALLE DEL CAUCA","BUGA","CAUCA","3.834805556","-76.30000556","Presión Atmosferica (1h)","HPa"
"0026125290","0255","2015-10-26T07:00:00.000","857.3","ARMENIA - AUT","QUINDÍO","ARMENIA","CAUCA","4.531583333","-75.69069444","Presión Atmosferica (1h)","HPa"
"0048015040","0255","2010-09-28T09:00:00.000","996.5","PTO NARIÑO","AMAZONAS","PUERTO NARIÑO","AMAZONAS - DIRECTOS","-3.78","-70.363","Presión Atmosferica (1h)","HPa"
"0021205505","0255","2015-12-05T18:00:00.000","752","PTAR TOCANCIPA - CAR","CUNDINAMARCA","TOCANCIPÁ","ALTO MAGDALENA","4.97","-73.918","Presión Atmosferica (1h)","HPa"
"0024055070","0255","2017-03-29T22:00:00.000","890.1","SAN  VICENTE DE CHUCURI  - AUT","SANTANDER","SAN VICENTE DE CHUCURÍ","MEDIO MAGDALENA","6.823388889","-73.47205556","Presión Atmosferica (1h)","HPa"
"0052055150","0255","2009-03-21T05:00:00.000","665.9","CERRO PARAMO  - AUT","NARIÑO","PUERRES","PATÍA","0.843111111","-77.38880556","Presión Atmosferica (1h)","HPa"
"0021235030","0255","2005-06-03T10:00:00.000","978.4","UNIVERSIDAD DE CUNDINAMARCA - AUT","CUNDINAMARCA","GIRARDOT","ALTO MAGDALENA","4.305333333","-74.80811111","Presión Atmosferica (1h)","HPa"
"0048015050","0255","2018-10-27T10:00:00.000","1001.6","AEROPUERTO VASQUEZ COBO","AMAZONAS","LETICIA","AMAZONAS - DIRECTOS","-4.193861111","-69.94091667","Presión Atmosferica (1h)","HPa"
"0056019010","0255","2006-04-18T16:00:00.000","1007.6","BAHIA SOLANO - En Siniestro","CHOCÓ","BAHÍA SOLANO (MUTIS)","PACÍFICO - DIRECTOS","6.269","-77.433","Presión Atmosferica (1h)","HPa"
"0024035430","0255","2008-09-01T02:00:00.000","758.7","TUNGUAVITA - AUT","BOYACÁ","PAIPA","SOGAMOSO","5.745916667","-73.11636111","Presión Atmosferica (1h)","HPa"
"0015075501","0255","2017-12-26T03:00:00.000","1009.7","AEROPUERTO PUERTO BOLIVAR  - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.22430556","-71.98288889","Presión Atmosferica (1h)","HPa"
"0013095010","0255","2016-06-15T13:00:00.000","1015","COVEÑAS - DIMAR","SUCRE","TOLÚ","CARIBE - LITORAL","9.383","-75.667","Presión Atmosferica (1h)","HPa"
